NEW_TABLE:user
0,Mandy,Doe,Mandy_Doe,usr1@rit.edu,pw1
1,Sue,Williams,Sue_Williams,usr2@rit.edu,pw2
2,Frank,Williams,Frank_Williams,usr3@rit.edu,pw3
3,Bob,Anderson,Bob_Anderson,usr4@rit.edu,pw4
4,Mandy,Thompson,Mandy_Thompson,usr5@rit.edu,pw5
5,Sue,Thompson,Sue_Thompson,usr6@rit.edu,pw6
6,Frank,Wilson,Frank_Wilson,usr7@rit.edu,pw7
7,Mandy,Wilson,Mandy_Wilson,usr8@rit.edu,pw8
8,Mandy,Smith,Mandy_Smith,usr9@rit.edu,pw9
9,Frank,Miller,Frank_Miller,usr10@rit.edu,pw10
10,Erin,Thompson,Erin_Thompson,usr11@rit.edu,pw11
11,Bob,Williams,Bob_Williams,usr12@rit.edu,pw12
12,Valencia,Smith,Valencia_Smith,usr13@rit.edu,pw13
13,Sue,Doe,Sue_Doe,usr14@rit.edu,pw14
14,Mandy,Anderson,Mandy_Anderson,usr15@rit.edu,pw15
15,Erin,Wilson,Erin_Wilson,usr16@rit.edu,pw16
16,Mandy,Miller,Mandy_Miller,usr17@rit.edu,pw17
17,Joe,Smith,Joe_Smith,usr18@rit.edu,pw18
18,Sue,Smith,Sue_Smith,usr19@rit.edu,pw19
19,Joe,Miller,Joe_Miller,usr20@rit.edu,pw20
20,Erin,Thompson,Erin_Thompson,usr21@rit.edu,pw21
21,Erin,Smith,Erin_Smith,usr22@rit.edu,pw22
22,Sue,Thompson,Sue_Thompson,usr23@rit.edu,pw23
23,Erin,Williams,Erin_Williams,usr24@rit.edu,pw24
24,Frank,Doe,Frank_Doe,usr25@rit.edu,pw25
25,Mandy,Miller,Mandy_Miller,usr26@rit.edu,pw26
26,Bob,Anderson,Bob_Anderson,usr27@rit.edu,pw27
27,Mandy,Williams,Mandy_Williams,usr28@rit.edu,pw28
28,Billy,Williams,Billy_Williams,usr29@rit.edu,pw29
29,Frank,Miller,Frank_Miller,usr30@rit.edu,pw30
30,Sue,Williams,Sue_Williams,usr31@rit.edu,pw31
31,Billy,Thompson,Billy_Thompson,usr32@rit.edu,pw32
32,Mandy,Doe,Mandy_Doe,usr33@rit.edu,pw33
33,Mandy,Doe,Mandy_Doe,usr34@rit.edu,pw34
34,Sue,Thompson,Sue_Thompson,usr35@rit.edu,pw35
35,Erin,Doe,Erin_Doe,usr36@rit.edu,pw36
36,Erin,Anderson,Erin_Anderson,usr37@rit.edu,pw37
37,Sue,Anderson,Sue_Anderson,usr38@rit.edu,pw38
38,Erin,Anderson,Erin_Anderson,usr39@rit.edu,pw39
39,Billy,Doe,Billy_Doe,usr40@rit.edu,pw40
40,Sue,Anderson,Sue_Anderson,usr41@rit.edu,pw41
41,Billy,Anderson,Billy_Anderson,usr42@rit.edu,pw42
42,Sue,Thompson,Sue_Thompson,usr43@rit.edu,pw43
43,Valencia,Smith,Valencia_Smith,usr44@rit.edu,pw44
44,Mandy,Thompson,Mandy_Thompson,usr45@rit.edu,pw45
45,Frank,Wilson,Frank_Wilson,usr46@rit.edu,pw46
46,Frank,Wilson,Frank_Wilson,usr47@rit.edu,pw47
47,Bob,Wilson,Bob_Wilson,usr48@rit.edu,pw48
48,Billy,Smith,Billy_Smith,usr49@rit.edu,pw49
49,Valencia,Wilson,Valencia_Wilson,usr50@rit.edu,pw50
50,Joe,Doe,Joe_Doe,usr51@rit.edu,pw51
51,Mandy,Williams,Mandy_Williams,usr52@rit.edu,pw52
52,Valencia,Doe,Valencia_Doe,usr53@rit.edu,pw53
53,Erin,Williams,Erin_Williams,usr54@rit.edu,pw54
54,Billy,Anderson,Billy_Anderson,usr55@rit.edu,pw55
55,Bob,Anderson,Bob_Anderson,usr56@rit.edu,pw56
56,Frank,Miller,Frank_Miller,usr57@rit.edu,pw57
57,Valencia,Williams,Valencia_Williams,usr58@rit.edu,pw58
58,Valencia,Miller,Valencia_Miller,usr59@rit.edu,pw59
59,Bob,Doe,Bob_Doe,usr60@rit.edu,pw60
60,Mandy,Smith,Mandy_Smith,usr61@rit.edu,pw61
61,Bob,Miller,Bob_Miller,usr62@rit.edu,pw62
62,Erin,Anderson,Erin_Anderson,usr63@rit.edu,pw63
63,Valencia,Doe,Valencia_Doe,usr64@rit.edu,pw64
64,Mandy,Miller,Mandy_Miller,usr65@rit.edu,pw65
65,Joe,Thompson,Joe_Thompson,usr66@rit.edu,pw66
66,Mandy,Miller,Mandy_Miller,usr67@rit.edu,pw67
67,Billy,Thompson,Billy_Thompson,usr68@rit.edu,pw68
68,Billy,Miller,Billy_Miller,usr69@rit.edu,pw69
69,Frank,Wilson,Frank_Wilson,usr70@rit.edu,pw70
70,Joe,Wilson,Joe_Wilson,usr71@rit.edu,pw71
71,Joe,Wilson,Joe_Wilson,usr72@rit.edu,pw72
72,Mandy,Doe,Mandy_Doe,usr73@rit.edu,pw73
73,Bob,Anderson,Bob_Anderson,usr74@rit.edu,pw74
74,Sue,Williams,Sue_Williams,usr75@rit.edu,pw75
75,Valencia,Wilson,Valencia_Wilson,usr76@rit.edu,pw76
76,Billy,Wilson,Billy_Wilson,usr77@rit.edu,pw77
77,Valencia,Thompson,Valencia_Thompson,usr78@rit.edu,pw78
78,Frank,Thompson,Frank_Thompson,usr79@rit.edu,pw79
79,Frank,Smith,Frank_Smith,usr80@rit.edu,pw80
80,Valencia,Miller,Valencia_Miller,usr81@rit.edu,pw81
81,Frank,Thompson,Frank_Thompson,usr82@rit.edu,pw82
82,Bob,Miller,Bob_Miller,usr83@rit.edu,pw83
83,Bob,Doe,Bob_Doe,usr84@rit.edu,pw84
84,Joe,Smith,Joe_Smith,usr85@rit.edu,pw85
85,Bob,Williams,Bob_Williams,usr86@rit.edu,pw86
86,Valencia,Williams,Valencia_Williams,usr87@rit.edu,pw87
87,Sue,Miller,Sue_Miller,usr88@rit.edu,pw88
88,Joe,Thompson,Joe_Thompson,usr89@rit.edu,pw89
89,Joe,Anderson,Joe_Anderson,usr90@rit.edu,pw90
90,Joe,Miller,Joe_Miller,usr91@rit.edu,pw91
91,Mandy,Anderson,Mandy_Anderson,usr92@rit.edu,pw92
92,Mandy,Wilson,Mandy_Wilson,usr93@rit.edu,pw93
93,Frank,Anderson,Frank_Anderson,usr94@rit.edu,pw94
94,Joe,Wilson,Joe_Wilson,usr95@rit.edu,pw95
95,Bob,Doe,Bob_Doe,usr96@rit.edu,pw96
96,Mandy,Wilson,Mandy_Wilson,usr97@rit.edu,pw97
97,Mandy,Smith,Mandy_Smith,usr98@rit.edu,pw98
98,Frank,Williams,Frank_Williams,usr99@rit.edu,pw99
99,Frank,Smith,Frank_Smith,usr100@rit.edu,pw100
100,Erin,Williams,Erin_Williams,usr101@rit.edu,pw101
101,Mandy,Williams,Mandy_Williams,usr102@rit.edu,pw102
102,Sue,Doe,Sue_Doe,usr103@rit.edu,pw103
103,Billy,Wilson,Billy_Wilson,usr104@rit.edu,pw104
104,Sue,Anderson,Sue_Anderson,usr105@rit.edu,pw105
105,Erin,Smith,Erin_Smith,usr106@rit.edu,pw106
106,Erin,Miller,Erin_Miller,usr107@rit.edu,pw107
107,Sue,Anderson,Sue_Anderson,usr108@rit.edu,pw108
108,Sue,Miller,Sue_Miller,usr109@rit.edu,pw109
109,Mandy,Williams,Mandy_Williams,usr110@rit.edu,pw110
110,Mandy,Smith,Mandy_Smith,usr111@rit.edu,pw111
111,Joe,Smith,Joe_Smith,usr112@rit.edu,pw112
112,Sue,Anderson,Sue_Anderson,usr113@rit.edu,pw113
113,Sue,Doe,Sue_Doe,usr114@rit.edu,pw114
114,Mandy,Thompson,Mandy_Thompson,usr115@rit.edu,pw115
115,Erin,Anderson,Erin_Anderson,usr116@rit.edu,pw116
116,Bob,Wilson,Bob_Wilson,usr117@rit.edu,pw117
117,Mandy,Miller,Mandy_Miller,usr118@rit.edu,pw118
118,Frank,Miller,Frank_Miller,usr119@rit.edu,pw119
119,Erin,Smith,Erin_Smith,usr120@rit.edu,pw120
120,Joe,Anderson,Joe_Anderson,usr121@rit.edu,pw121
121,Erin,Doe,Erin_Doe,usr122@rit.edu,pw122
122,Sue,Anderson,Sue_Anderson,usr123@rit.edu,pw123
123,Joe,Thompson,Joe_Thompson,usr124@rit.edu,pw124
124,Billy,Williams,Billy_Williams,usr125@rit.edu,pw125
125,Mandy,Thompson,Mandy_Thompson,usr126@rit.edu,pw126
126,Frank,Wilson,Frank_Wilson,usr127@rit.edu,pw127
127,Bob,Anderson,Bob_Anderson,usr128@rit.edu,pw128
128,Bob,Williams,Bob_Williams,usr129@rit.edu,pw129
129,Billy,Thompson,Billy_Thompson,usr130@rit.edu,pw130
130,Mandy,Wilson,Mandy_Wilson,usr131@rit.edu,pw131
131,Joe,Thompson,Joe_Thompson,usr132@rit.edu,pw132
132,Erin,Thompson,Erin_Thompson,usr133@rit.edu,pw133
133,Joe,Anderson,Joe_Anderson,usr134@rit.edu,pw134
134,Erin,Anderson,Erin_Anderson,usr135@rit.edu,pw135
135,Frank,Miller,Frank_Miller,usr136@rit.edu,pw136
136,Billy,Doe,Billy_Doe,usr137@rit.edu,pw137
137,Sue,Anderson,Sue_Anderson,usr138@rit.edu,pw138
138,Billy,Doe,Billy_Doe,usr139@rit.edu,pw139
139,Bob,Thompson,Bob_Thompson,usr140@rit.edu,pw140
140,Sue,Wilson,Sue_Wilson,usr141@rit.edu,pw141
141,Frank,Thompson,Frank_Thompson,usr142@rit.edu,pw142
142,Mandy,Doe,Mandy_Doe,usr143@rit.edu,pw143
143,Erin,Smith,Erin_Smith,usr144@rit.edu,pw144
144,Erin,Anderson,Erin_Anderson,usr145@rit.edu,pw145
145,Sue,Smith,Sue_Smith,usr146@rit.edu,pw146
146,Frank,Williams,Frank_Williams,usr147@rit.edu,pw147
147,Erin,Anderson,Erin_Anderson,usr148@rit.edu,pw148
148,Joe,Thompson,Joe_Thompson,usr149@rit.edu,pw149
149,Billy,Miller,Billy_Miller,usr150@rit.edu,pw150
150,Billy,Thompson,Billy_Thompson,usr151@rit.edu,pw151
151,Bob,Anderson,Bob_Anderson,usr152@rit.edu,pw152
152,Billy,Williams,Billy_Williams,usr153@rit.edu,pw153
153,Billy,Williams,Billy_Williams,usr154@rit.edu,pw154
154,Valencia,Thompson,Valencia_Thompson,usr155@rit.edu,pw155
155,Valencia,Thompson,Valencia_Thompson,usr156@rit.edu,pw156
156,Valencia,Smith,Valencia_Smith,usr157@rit.edu,pw157
157,Sue,Anderson,Sue_Anderson,usr158@rit.edu,pw158
158,Bob,Thompson,Bob_Thompson,usr159@rit.edu,pw159
159,Frank,Wilson,Frank_Wilson,usr160@rit.edu,pw160
160,Erin,Anderson,Erin_Anderson,usr161@rit.edu,pw161
161,Erin,Williams,Erin_Williams,usr162@rit.edu,pw162
162,Joe,Williams,Joe_Williams,usr163@rit.edu,pw163
163,Frank,Wilson,Frank_Wilson,usr164@rit.edu,pw164
